1000 0
2000 2
3000 5
4000 8
5000 13
6000 17
7000 23
8000 31
9000 38
10000 48
11000 56
12000 72
13000 78
14000 92
15000 103
16000 122
17000 134
18000 149
19000 171
20000 189
22000 233
24000 262
26000 325
28000 349
30000 402
